 0 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- 28 -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- 
Scan finished
Configure finished
BNO055 initialisation finished
X:-45 Y:-50 Z:945
X:-41 Y:-56 Z:952
X:-45 Y:-57 Z:946
X:-41 Y:-57 Z:946
X:-42 Y:-56 Z:947
X:-40 Y:-57 Z:954
X:-45 Y:-48 Z:943
X:-51 Y:-53 Z:939
X:-41 Y:-57 Z:947
X:-42 Y:-55 Z:935
X:-41 Y:-51 Z:948
X:-45 Y:-52 Z:944
X:-42 Y:-50 Z:954
X:-42 Y:-48 Z:946
X:-46 Y:-59 Z:946
X:-39 Y:-53 Z:949
X:-39 Y:-46 Z:947
X:-57 Y:-57 Z:946
X:-41 Y:-54 Z:948
X:-44 Y:-56 Z:948
X:-47 Y:-54 Z:932
X:-43 Y:-53 Z:941
X:-42 Y:-56 Z:931
X:-41 Y:-54 Z:935
X:-37 Y:-53 Z:948
X:-41 Y:-55 Z:952
X:-42 Y:-53 Z:936
X:-40 Y:-55 Z:942
X:-47 Y:-57 Z:945
X:-46 Y:-58 Z:953
X:-37 Y:-52 Z:946
X:-56 Y:-52 Z:943
X:-46 Y:-58 Z:944
X:-40 Y:-46 Z:958
X:-38 Y:-57 Z:934
X:-47 Y:-53 Z:942
X:-52 Y:-51 Z:953
X:-47 Y:-62 Z:954
X:-57 Y:-58 Z:946
X:-43 Y:-45 Z:952
X:-47 Y:-50 Z:944
X:-55 Y:-59 Z:941
X:-45 Y:-43 Z:949
X:-40 Y:-50 Z:944
X:-34 Y:-57 Z:937
X:-45 Y:-56 Z:948
X:-44 Y:-54 Z:943
X:-39 Y:-56 Z:946
